i-traits	type	date	angle	MLP
T1-T.209	HSI	T1	side	0.3938
T1-T.210	HSI	T1	side	0.3264
T1-T.211	HSI	T1	side	0.3584
T1-T.212	HSI	T1	side	0.3942
T1-T.213	HSI	T1	side	0.4064
T1-T.214	HSI	T1	side	0.3642
T1-T.215	HSI	T1	side	0.3476
T1-T.216	HSI	T1	side	0.342
T1-T.217	HSI	T1	side	0.3136
T1-T.218	HSI	T1	side	0.4136
T1-T.219	HSI	T1	side	0.3748
T1-T.220	HSI	T1	side	0.2964
T1-T.221	HSI	T1	side	0.439
T1-T.222	HSI	T1	side	0.3586
T1-T.223	HSI	T1	side	0.3524
T1-T.224	HSI	T1	side	0.3318
T1-dT.1	HSI	T1	side	0.3588
T1-dT.2	HSI	T1	side	0.354
T1-dT.3	HSI	T1	side	0.4126
T1-dT.4	HSI	T1	side	0.418
T1-dT.5	HSI	T1	side	0.5778
T1-dT.6	HSI	T1	side	0.4888
T1-dT.7	HSI	T1	side	0.5344
T1-dT.8	HSI	T1	side	0.4484
T1-dT.9	HSI	T1	side	0.5268
T1-dT.10	HSI	T1	side	0.416
T1-dT.11	HSI	T1	side	0.47
T1-dT.12	HSI	T1	side	0.539
T1-dT.13	HSI	T1	side	0.6152
T1-dT.14	HSI	T1	side	0.5662
T1-dT.15	HSI	T1	side	0.3828
T1-dT.16	HSI	T1	side	0.4422
T1-dT.17	HSI	T1	side	0.4138
T1-dT.18	HSI	T1	side	0.401
T1-dT.19	HSI	T1	side	0.5094
T1-dT.20	HSI	T1	side	0.5934
T1-dT.21	HSI	T1	side	0.6138
T1-dT.22	HSI	T1	side	0.4564
T1-dT.23	HSI	T1	side	0.4884
T1-dT.24	HSI	T1	side	0.3818
T1-dT.25	HSI	T1	side	0.5392
T1-dT.26	HSI	T1	side	0.4284
T1-dT.27	HSI	T1	side	0.4382
T1-dT.28	HSI	T1	side	0.468
T1-dT.29	HSI	T1	side	0.3804
T1-dT.30	HSI	T1	side	0.4886
T1-dT.31	HSI	T1	side	0.4868
T1-dT.32	HSI	T1	side	0.4226
T1-dT.33	HSI	T1	side	0.4928
T1-dT.34	HSI	T1	side	0.5104
T1-dT.35	HSI	T1	side	0.497
T1-dT.36	HSI	T1	side	0.481
T1-dT.37	HSI	T1	side	0.4022
T1-dT.38	HSI	T1	side	0.5364
T1-dT.39	HSI	T1	side	0.5132
T1-dT.40	HSI	T1	side	0.4838
T1-dT.41	HSI	T1	side	0.4384
T1-dT.42	HSI	T1	side	0.442
T1-dT.43	HSI	T1	side	0.4862
T1-dT.44	HSI	T1	side	0.423
T1-dT.45	HSI	T1	side	0.484
T1-dT.46	HSI	T1	side	0.3578
T1-dT.47	HSI	T1	side	0.346
T1-dT.48	HSI	T1	side	0.3804
T1-dT.49	HSI	T1	side	0.3954
T1-dT.50	HSI	T1	side	0.387
T1-dT.51	HSI	T1	side	0.3516
T1-dT.52	HSI	T1	side	0.4346
T1-dT.53	HSI	T1	side	0.4618
T1-dT.54	HSI	T1	side	0.49
T1-dT.55	HSI	T1	side	0.4248
T1-dT.56	HSI	T1	side	0.4952
T1-dT.57	HSI	T1	side	0.4356
T1-dT.58	HSI	T1	side	0.4108
T1-dT.59	HSI	T1	side	0.3722
T1-dT.60	HSI	T1	side	0.3922
T1-dT.61	HSI	T1	side	0.4524
T1-dT.62	HSI	T1	side	0.449
T1-dT.63	HSI	T1	side	0.4634
T1-dT.64	HSI	T1	side	0.4346
T1-dT.65	HSI	T1	side	0.3758
T1-dT.66	HSI	T1	side	0.4352
T1-dT.67	HSI	T1	side	0.4006
T1-dT.68	HSI	T1	side	0.463
T1-dT.69	HSI	T1	side	0.3858
T1-dT.70	HSI	T1	side	0.46
T1-dT.71	HSI	T1	side	0.4678
T1-dT.72	HSI	T1	side	0.4828
T1-dT.73	HSI	T1	side	0.6044
T1-dT.74	HSI	T1	side	0.5408
T1-dT.75	HSI	T1	side	0.3834
T1-dT.76	HSI	T1	side	0.4128
T1-dT.77	HSI	T1	side	0.4084
T1-dT.78	HSI	T1	side	0.4182
T1-dT.79	HSI	T1	side	0.489
T1-dT.80	HSI	T1	side	0.446
T1-dT.81	HSI	T1	side	0.4616
T1-dT.82	HSI	T1	side	0.5012
T1-dT.83	HSI	T1	side	0.4252
T1-dT.84	HSI	T1	side	0.3562
T1-dT.85	HSI	T1	side	0.3752
T1-dT.86	HSI	T1	side	0.3666
T1-dT.87	HSI	T1	side	0.4502
T1-dT.88	HSI	T1	side	0.4246
T1-dT.89	HSI	T1	side	0.4248
T1-dT.90	HSI	T1	side	0.4582
T1-dT.91	HSI	T1	side	0.39
T1-dT.92	HSI	T1	side	0.5006
T1-dT.93	HSI	T1	side	0.3276
T1-dT.94	HSI	T1	side	0.3586
T1-dT.95	HSI	T1	side	0.491
T1-dT.96	HSI	T1	side	0.4828
T1-dT.97	HSI	T1	side	0.4414
T1-dT.98	HSI	T1	side	0.428
T1-dT.99	HSI	T1	side	0.429
T1-dT.100	HSI	T1	side	0.369
T1-dT.101	HSI	T1	side	0.4822
T1-dT.102	HSI	T1	side	0.3844
T1-dT.103	HSI	T1	side	0.3998
T1-dT.104	HSI	T1	side	0.4434
T1-dT.105	HSI	T1	side	0.4576
T1-dT.106	HSI	T1	side	0.3136
T1-dT.107	HSI	T1	side	0.405
T1-dT.108	HSI	T1	side	0.4136
T1-dT.109	HSI	T1	side	0.3336
T1-dT.110	HSI	T1	side	0.3828
T1-dT.111	HSI	T1	side	0.3466
T1-dT.112	HSI	T1	side	0.3332
T1-dT.113	HSI	T1	side	0.4164
T1-dT.114	HSI	T1	side	0.2942
T1-dT.115	HSI	T1	side	0.2978
T1-dT.116	HSI	T1	side	0.3094
T1-dT.117	HSI	T1	side	0.3362
T1-dT.118	HSI	T1	side	0.3518
T1-dT.119	HSI	T1	side	0.412
T1-dT.120	HSI	T1	side	0.4572
T1-dT.121	HSI	T1	side	0.3664
T1-dT.122	HSI	T1	side	0.396
T1-dT.123	HSI	T1	side	0.41
T1-dT.124	HSI	T1	side	0.3968
T1-dT.125	HSI	T1	side	0.375
T1-dT.126	HSI	T1	side	0.32
T1-dT.127	HSI	T1	side	0.279
T1-dT.128	HSI	T1	side	0.3898
T1-dT.129	HSI	T1	side	0.3732
T1-dT.130	HSI	T1	side	0.4194
T1-dT.131	HSI	T1	side	0.35
T1-dT.132	HSI	T1	side	0.3364
T1-dT.133	HSI	T1	side	0.3898
T1-dT.134	HSI	T1	side	0.3766
T1-dT.135	HSI	T1	side	0.4092
T1-dT.136	HSI	T1	side	0.4208
T1-dT.137	HSI	T1	side	0.3946
T1-dT.138	HSI	T1	side	0.3978
T1-dT.139	HSI	T1	side	0.3324
T1-dT.140	HSI	T1	side	0.4286
T1-dT.141	HSI	T1	side	0.4572
T1-dT.142	HSI	T1	side	0.3644
T1-dT.143	HSI	T1	side	0.4594
T1-dT.144	HSI	T1	side	0.4996
T1-dT.145	HSI	T1	side	0.3818
T1-dT.146	HSI	T1	side	0.5428
T1-dT.147	HSI	T1	side	0.3844
T1-dT.148	HSI	T1	side	0.4222
T1-dT.149	HSI	T1	side	0.417
T1-dT.150	HSI	T1	side	0.4336
T1-dT.151	HSI	T1	side	0.47
T1-dT.152	HSI	T1	side	0.4996
T1-dT.153	HSI	T1	side	0.4276
T1-dT.154	HSI	T1	side	0.5416
T1-dT.155	HSI	T1	side	0.474
T1-dT.156	HSI	T1	side	0.4458
T1-dT.157	HSI	T1	side	0.3886
T1-dT.158	HSI	T1	side	0.5382
T1-dT.159	HSI	T1	side	0.4288
T1-dT.160	HSI	T1	side	0.4336
T1-dT.161	HSI	T1	side	0.4968
T1-dT.162	HSI	T1	side	0.5412
T1-dT.163	HSI	T1	side	0.3728
T1-dT.164	HSI	T1	side	0.4076
T1-dT.165	HSI	T1	side	0.5884
T1-dT.166	HSI	T1	side	0.4036
T1-dT.167	HSI	T1	side	0.4914
T1-dT.168	HSI	T1	side	0.541
T1-dT.169	HSI	T1	side	0.394
T1-dT.170	HSI	T1	side	0.49
T1-dT.171	HSI	T1	side	0.5298
T1-dT.172	HSI	T1	side	0.4438
T1-dT.173	HSI	T1	side	0.3038
T1-dT.174	HSI	T1	side	0.4344
T1-dT.175	HSI	T1	side	0.6024
T1-dT.176	HSI	T1	side	0.4024
T1-dT.177	HSI	T1	side	0.3938
T1-dT.178	HSI	T1	side	0.4778
T1-dT.179	HSI	T1	side	0.4694
T1-dT.180	HSI	T1	side	0.5384
T1-dT.181	HSI	T1	side	0.5462
T1-dT.182	HSI	T1	side	0.56
T1-dT.183	HSI	T1	side	0.4396
T1-dT.184	HSI	T1	side	0.453
T1-dT.185	HSI	T1	side	0.6386
T1-dT.186	HSI	T1	side	0.4126
T1-dT.187	HSI	T1	side	0.4592
T1-dT.188	HSI	T1	side	0.4078
T1-dT.189	HSI	T1	side	0.372
T1-dT.190	HSI	T1	side	0.4894
T1-dT.191	HSI	T1	side	0.3564
T1-dT.192	HSI	T1	side	0.533
T1-dT.193	HSI	T1	side	0.4194
T1-dT.194	HSI	T1	side	0.4394
T1-dT.195	HSI	T1	side	0.4224
T1-dT.196	HSI	T1	side	0.4976
T1-dT.197	HSI	T1	side	0.4656
T1-dT.198	HSI	T1	side	0.367
T1-dT.199	HSI	T1	side	0.4104
T1-dT.200	HSI	T1	side	0.4252
T1-dT.201	HSI	T1	side	0.4806
T1-dT.202	HSI	T1	side	0.4236
T1-dT.203	HSI	T1	side	0.3714
T1-dT.204	HSI	T1	side	0.3836
T1-dT.205	HSI	T1	side	0.4904
T1-dT.206	HSI	T1	side	0.4672
T1-dT.207	HSI	T1	side	0.3826
T1-dT.208	HSI	T1	side	0.562
T1-dT.209	HSI	T1	side	0.4052
T1-dT.210	HSI	T1	side	0.3792
T1-dT.211	HSI	T1	side	0.4798
T1-dT.212	HSI	T1	side	0.3852
T1-dT.213	HSI	T1	side	0.4808
T1-dT.214	HSI	T1	side	0.4958
T1-dT.215	HSI	T1	side	0.5246
T1-dT.216	HSI	T1	side	0.4484
T1-dT.217	HSI	T1	side	0.3978
T1-dT.218	HSI	T1	side	0.3712
T1-dT.219	HSI	T1	side	0.466
T1-dT.220	HSI	T1	side	0.4364
T1-dT.221	HSI	T1	side	0.478
T1-dT.222	HSI	T1	side	0.4182
T1-dT.223	HSI	T1	side	0.429
T1-dT.224	HSI	T1	side	0.4022
T1-ddT.1	HSI	T1	side	0.448
T1-ddT.2	HSI	T1	side	0.4236
T1-ddT.3	HSI	T1	side	0.3954
T1-ddT.4	HSI	T1	side	0.486
T1-ddT.5	HSI	T1	side	0.4578
T1-ddT.6	HSI	T1	side	0.517
T1-ddT.7	HSI	T1	side	0.5936
T1-ddT.8	HSI	T1	side	0.6234
